GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
POS,com.increff.employee.spring,DBconfig,108,0,0,0,28,0,4,0,4,0
POS,com.increff.employee.pojo,product,3,0,0,0,1,0,1,0,1,0
